Fyers_Symbol,Stock Name,Company Name,Sector,Basic Industry,Market Cap(Cr.),Stock Price,No OF  SHARE,Circuit Limit
NSE:JLHL-EQ,JLHL,Jupiter Life Line Hospitals Limited,Healthcare,Hospitals,8462,1281.9,66011389.34,20
NSE:MANORAMA-EQ,MANORAMA,Manorama Industries Limited,FMCG,Food Products,8476,1417.7,59786978.91,20
NSE:NESCO-EQ,NESCO,Nesco Limited,Realty,Real Estate,8515,1208.4,70465077.79,20
NSE:JSLL-EQ,JSLL,Jeena Sikho Lifecare Limited,Healthcare,Pharmaceuticals,8523,686.25,124196721.3,20
NSE:GMRP&UI-EQ,GMRP&UI,GMR Power and Urban Infra Limited,Diversified,Diversified Operations,8578,109.98,779959992.7,20
NSE:AKUMS-EQ,AKUMS,Akums Drugs and Pharmaceuticals Limited,Healthcare,Pharmaceuticals,8594,545.75,157471369.7,10
NSE:TRIVENI-EQ,TRIVENI,Triveni Engineering & Industries Limited,FMCG,Sugar,8598,392.95,218806463.9,20
NSE:ASKAUTOLTD-EQ,ASKAUTOLTD,ASK Automotive Limited,Auto,Auto Ancilaries,8611,436.8,197138278.4,20
NSE:MAHSEAMLES-EQ,MAHSEAMLES,Maharashtra Seamless Limited,Metals & Mining,Iron & Steel,8612,642.9,133955514.1,20
NSE:WABAG-EQ,WABAG,VA Tech Wabag Limited,Utilities,Water Supply & Management,8655,1389.5,62288593.02,20
NSE:SHAILY-EQ,SHAILY,Shaily Engineering Plastics Limited,Chemicals,Chemicals-Plastics,8657,1885,45925729.44,20
NSE:INDIASHLTR-EQ,INDIASHLTR,India Shelter Finance Corporation Limited,Financial Services,Housing Finance,8734,803.25,108733271.1,20
NSE:JYOTHYLAB-EQ,JYOTHYLAB,Jyothy Labs Limited,FMCG,Personal Care,8755,238.34,367332382.3,20
NSE:ORKLAINDIA-EQ,ORKLAINDIA,Orkla India Limited,FMCG,Food Products,8771,639.15,137229132.4,20
NSE:KPIGREEN-EQ,KPIGREEN,KPI Green Energy Limited,Power,Energy-Alternative,8847,448.25,197367540.4,20
NSE:CARTRADE-EQ,CARTRADE,Cartrade Tech Limited,Consumer Services,E- Commerce,8900,1858,47900968.78,20
NSE:TTML-EQ,TTML,Tata Teleservices (Maharashtra) Limited,Telecommunication,Telecom - Cellular & Fixed line services,8915,45.68,1951619965,20
NSE:BANCOINDIA-EQ,BANCOINDIA,Banco Products (I) Limited,Auto,Auto Ancilaries,8954,624.95,143275462,20
